s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.4629121E+000, 9.3329196E+001,-2.9711099E+001, 1.7610105E+000,-3.1465846E+000, 2.7552185E-001, 0.0000000E+000, 0.0000000E+000, 6.3352408E+001, 6.2508044E+001, 1.8843538E-003, 1.8843538E-003
 2.5250130E+000, 8.6217254E+001,-2.7658216E+001, 1.5782361E+000,-3.8049998E+000, 2.7479043E-001, 0.0000000E+000, 0.0000000E+000, 5.6564270E+001, 5.6607065E+001, 1.8877389E-003, 1.8877389E-003
 2.5825975E+000, 9.2058374E+001,-2.9396532E+001, 1.6938741E+000,-4.3946764E+000, 2.7232248E-001, 0.0000000E+000, 0.0000000E+000, 5.9681013E+001, 6.0233362E+001, 1.8906358E-003, 1.8906358E-003
 2.6446986E+000, 1.0529078E+002,-3.5273316E+001, 1.7641795E+000,-4.8377260E+000, 2.7042167E-001, 0.0000000E+000, 0.0000000E+000, 6.6898130E+001, 6.7214339E+001, 1.8932121E-003, 1.8932121E-003
 2.7005894E+000, 1.0085821E+002,-3.2626710E+001, 1.7941274E+000,-5.0183537E+000, 2.7374830E-001, 0.0000000E+000, 0.0000000E+000, 6.5420719E+001, 6.5281023E+001, 1.8954653E-003, 1.8954653E-003
 2.7617149E+000, 1.0373719E+002,-3.3293595E+001, 1.8495413E+000,-5.0392269E+000, 2.7749455E-001, 0.0000000E+000, 0.0000000E+000, 6.7303189E+001, 6.7531406E+001, 1.8974400E-003, 1.8974400E-003
 2.8228405E+000, 1.0456832E+002,-3.3766225E+001, 1.7530401E+000,-5.1238327E+000, 2.8305551E-001, 0.0000000E+000, 0.0000000E+000, 6.7628309E+001, 6.7714358E+001, 1.8992850E-003, 1.8992850E-003
 2.8845217E+000, 1.0899046E+002,-3.5332008E+001, 1.8532833E+000,-5.2719829E+000, 2.8944391E-001, 0.0000000E+000, 0.0000000E+000, 7.0334619E+001, 7.0529199E+001, 1.9009267E-003, 1.9009267E-003
 2.9456472E+000, 1.0725217E+002,-3.4421570E+001, 1.8607573E+000,-5.5759698E+000, 2.8907493E-001, 0.0000000E+000, 0.0000000E+000, 6.9637116E+001, 6.9404463E+001, 1.9023850E-003, 1.9023850E-003
 3.0006602E+000, 1.0612698E+002,-3.4076929E+001, 1.7851468E+000,-5.9942285E+000, 2.8544699E-001, 0.0000000E+000, 0.0000000E+000, 6.8032622E+001, 6.8126416E+001, 1.9036054E-003, 1.9036054E-003
