s,C
Time,"HD"
 2.7219514E+001, 4.0673241E+001
 2.7269589E+001, 4.0718476E+001
 2.7319664E+001, 4.0763645E+001
 2.7369739E+001, 4.0808642E+001
 2.7469888E+001, 4.0876018E+001
 2.7519963E+001, 4.0943097E+001
 2.7570038E+001, 4.0987659E+001
 2.7620112E+001, 4.1031947E+001
 2.7670187E+001, 4.1076155E+001
 2.7720262E+001, 4.1120186E+001
 2.7820411E+001, 4.1185936E+001
 2.7870486E+001, 4.1251383E+001
 2.7920561E+001, 4.1294810E+001
 2.7970635E+001, 4.1338088E+001
 2.8020710E+001, 4.1381144E+001
 2.8108108E+001, 4.1437222E+001
 2.8151807E+001, 4.1492926E+001
 2.8239204E+001, 4.1548152E+001
 2.8282903E+001, 4.1602892E+001
 2.8330972E+001, 4.1642669E+001
 2.8427109E+001, 4.1701725E+001
 2.8475178E+001, 4.1760284E+001
 2.8523247E+001, 4.1798963E+001
 2.8571315E+001, 4.1837449E+001
 2.8667453E+001, 4.1894618E+001
 2.8710093E+001, 4.1947061E+001
 2.8752734E+001, 4.1980276E+001
 2.8838014E+001, 4.2029688E+001
 2.8880655E+001, 4.2078667E+001
 2.8927559E+001, 4.2114282E+001
 2.9026058E+001, 4.2170016E+001
 2.9077653E+001, 4.2227055E+001
 2.9129248E+001, 4.2265506E+001
 2.9180843E+001, 4.2303862E+001
 2.9226094E+001, 4.2337540E+001
 2.9316596E+001, 4.2388189E+001
 2.9361847E+001, 4.2439075E+001
 2.9411623E+001, 4.2476565E+001
 2.9461399E+001, 4.2514265E+001
 2.9560951E+001, 4.2571054E+001
 2.9610727E+001, 4.2628086E+001
 2.9660503E+001, 4.2666216E+001
 2.9710279E+001, 4.2704414E+001
 2.9760055E+001, 4.2742591E+001
 2.9859608E+001, 4.2799763E+001
 2.9909384E+001, 4.2856729E+001
 2.9959160E+001, 4.2894572E+001
 3.0008936E+001, 4.2932263E+001
 3.0108488E+001, 4.2988489E+001
 3.0158264E+001, 4.3044324E+001
 3.0208040E+001, 4.3081287E+001
 3.0257816E+001, 4.3118056E+001
 3.0307592E+001, 4.3154670E+001
 3.0407145E+001, 4.3209587E+001
 3.0450714E+001, 4.3260171E+001
 3.0494283E+001, 4.3292584E+001
 3.0581421E+001, 4.3341649E+001
 3.0624991E+001, 4.3391210E+001
 3.0668560E+001, 4.3424625E+001
 3.0755698E+001, 4.3475273E+001
 3.0799267E+001, 4.3526460E+001
 3.0842837E+001, 4.3560850E+001
 3.0929975E+001, 4.3612796E+001
 3.0973544E+001, 4.3664995E+001
 3.1060683E+001, 4.3717431E+001
 3.1104252E+001, 4.3769901E+001
 3.1147821E+001, 4.3804872E+001
 3.1234959E+001, 4.3857132E+001
 3.1282886E+001, 4.3912558E+001
 3.1330812E+001, 4.3950376E+001
 3.1426664E+001, 4.4006655E+001
 3.1474590E+001, 4.4062490E+001
 3.1522516E+001, 4.4099463E+001
 3.1570442E+001, 4.4136258E+001
 3.1666295E+001, 4.4191034E+001
 3.1714221E+001, 4.4245429E+001
 3.1762147E+001, 4.4281395E+001
 3.1810073E+001, 4.4317177E+001
 3.1905925E+001, 4.4369950E+001
 3.1953851E+001, 4.4421451E+001
 3.2001778E+001, 4.4454703E+001
 3.2049704E+001, 4.4487162E+001
 3.2145556E+001, 4.4534376E+001
 3.2193482E+001, 4.4580167E+001
 3.2241408E+001, 4.4609913E+001
 3.2289334E+001, 4.4639189E+001
 3.2389979E+001, 4.4684968E+001
 3.2442698E+001, 4.4731992E+001
 3.2495417E+001, 4.4764053E+001
 3.2548135E+001, 4.4796201E+001
 3.2600854E+001, 4.4828712E+001
 3.2653573E+001, 4.4861778E+001
 3.2706292E+001, 4.4895401E+001
 3.2811729E+001, 4.4947032E+001
 3.2864448E+001, 4.4999571E+001
 3.2917167E+001, 4.5035084E+001
 3.2969885E+001, 4.5070769E+001
 3.3022604E+001, 4.5106564E+001
 3.3075323E+001, 4.5142423E+001
 3.3128042E+001, 4.5178277E+001
 3.3180760E+001, 4.5214069E+001
 3.3286198E+001, 4.5267620E+001
 3.3338917E+001, 4.5321014E+001
 3.3391635E+001, 4.5356567E+001
 3.3444354E+001, 4.5392069E+001
 3.3497073E+001, 4.5427523E+001
 3.3549792E+001, 4.5462784E+001
 3.3602510E+001, 4.5497909E+001
 3.3707948E+001, 4.5550196E+001
 3.3760667E+001, 4.5602142E+001
 3.3818657E+001, 4.5639907E+001
 3.3876648E+001, 4.5677524E+001
 3.3934638E+001, 4.5714969E+001
 3.3992629E+001, 4.5752283E+001
 3.4050620E+001, 4.5789481E+001
 3.4108610E+001, 4.5826583E+001
 3.4166601E+001, 4.5863685E+001
 3.4224591E+001, 4.5900825E+001
 3.4282582E+001, 4.5938044E+001
 3.4334388E+001, 4.5971467E+001
 3.4386194E+001, 4.6005024E+001
 3.4489806E+001, 4.6055805E+001
 3.4541612E+001, 4.6107013E+001
 3.4593418E+001, 4.6141502E+001
 3.4645223E+001, 4.6176278E+001
 3.4697029E+001, 4.6211276E+001
 3.4748835E+001, 4.6246545E+001
 3.4800641E+001, 4.6281985E+001
 3.4904253E+001, 4.6335233E+001
 3.4956059E+001, 4.6388368E+001
 3.5007865E+001, 4.6423585E+001
 3.5059671E+001, 4.6458650E+001
 3.5111477E+001, 4.6493486E+001
 3.5163282E+001, 4.6528075E+001
 3.5266894E+001, 4.6579385E+001
 3.5318700E+001, 4.6630110E+001
 3.5370506E+001, 4.6663575E+001
 3.5422312E+001, 4.6696921E+001
 3.5474118E+001, 4.6730145E+001
 3.5563242E+001, 4.6773016E+001
 3.5607803E+001, 4.6815999E+001
 3.5652365E+001, 4.6844937E+001
 3.5741489E+001, 4.6889078E+001
 3.5786051E+001, 4.6934005E+001
 3.5830613E+001, 4.6964407E+001
 3.5919737E+001, 4.7010490E+001
